"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 19:34:56 GMT 2024","Fri May 31 19:34:57 GMT 2024","358","tests","test_example","","","","test_has_title[chromium]",""
"passed","Fri May 31 19:34:56 GMT 2024","Fri May 31 19:34:56 GMT 2024","354","tests","test_buying","","","","test_buying[chromium]","
    This test uses the fixture login to login, and then, buy one item 
    and verifies the Complete Order title is displayed.
    "
"passed","Fri May 31 19:34:59 GMT 2024","Fri May 31 19:34:59 GMT 2024","71","tests","test_sorting","","","","test_sorting_low_high[chromium]","
    Testing low high sort
    "
"passed","Fri May 31 19:34:58 GMT 2024","Fri May 31 19:34:58 GMT 2024","119","tests","test_login","","","","test_invalid_user[chromium]","
    Testing invalid user
    "
"passed","Fri May 31 19:34:57 GMT 2024","Fri May 31 19:34:57 GMT 2024","115","tests","test_login","","","","test_locked_user[chromium]","
    Testing error when user is locked
    "
"passed","Fri May 31 19:34:58 GMT 2024","Fri May 31 19:34:58 GMT 2024","163","tests","test_login","","","","test_valid_user[chromium]","
    Testing valid login
    "
"passed","Fri May 31 19:34:57 GMT 2024","Fri May 31 19:34:57 GMT 2024","424","tests","test_example","","","","test_get_started_link[chromium]",""
