"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 00:02:11 GMT 2024","Thu Jun 20 00:02:11 GMT 2024","157","tests","test_login","","","","test_valid_user[chromium]","
    Testing valid login
    "
"passed","Thu Jun 20 00:02:10 GMT 2024","Thu Jun 20 00:02:10 GMT 2024","101","tests","test_login","","","","test_invalid_user[chromium]","
    Testing invalid user
    "
"passed","Thu Jun 20 00:02:10 GMT 2024","Thu Jun 20 00:02:10 GMT 2024","126","tests","test_login","","","","test_locked_user[chromium]","
    Testing error when user is locked
    "
"passed","Thu Jun 20 00:02:11 GMT 2024","Thu Jun 20 00:02:11 GMT 2024","59","tests","test_sorting","","","","test_sorting_low_high[chromium]","
    Testing low high sort
    "
"passed","Thu Jun 20 00:02:09 GMT 2024","Thu Jun 20 00:02:10 GMT 2024","338","tests","test_buying","","","","test_buying[chromium]","
    This test uses the fixture login to login, and then, buy one item
    and verifies the Complete Order title is displayed.
    "
